image_ID,ITA,color
ISIC_0027419,47.84408209692658,lt1
ISIC_0025030,47.08424352544777,lt1
ISIC_0026769,45.74857730339645,lt1
ISIC_0025661,43.13457915646419,lt1
ISIC_0031633,52.36271393675527,lt2
ISIC_0027850,46.653247883926,lt1
ISIC_0029176,45.02851366611889,lt1
ISIC_0029068,43.502266044592226,lt1
ISIC_0025837,44.64980173698553,lt1
ISIC_0025209,48.4869042639241,lt2
ISIC_0025276,48.81397796391053,lt2
ISIC_0029396,43.07777680793923,lt1
ISIC_0025984,42.65040387288391,lt1
ISIC_0025767,46.818448099668544,lt1
ISIC_0032417,49.1172339172755,lt2
ISIC_0031326,49.39587772561004,lt2
ISIC_0025915,43.88871264494658,lt1
ISIC_0031029,44.56365662049729,lt1
ISIC_0029836,48.64627460166199,lt2
ISIC_0032129,49.9918054244474,lt2
ISIC_0032343,27.207855234211973,tan2
ISIC_0025033,48.050791799310154,lt2
ISIC_0027310,48.435380289940866,lt2
ISIC_0032128,48.14992339487535,lt2
ISIC_0025937,39.81436856999815,int2
ISIC_0027828,50.750921459129046,lt2
ISIC_0029291,43.39542201857996,lt1
ISIC_0030698,45.14171780120577,lt1
ISIC_0025567,48.54913941566379,lt2
ISIC_0031753,45.36032475357955,lt1
ISIC_0026835,40.252493985905154,int2
ISIC_0031159,43.7137331402682,lt1
ISIC_0031017,42.665531199132104,lt1
ISIC_0024981,49.515069911665314,lt2
ISIC_0027815,13.613418602738484,tan2
ISIC_0024324,43.41079965598804,lt1
ISIC_0029559,39.92884484080139,int2
ISIC_0030661,47.53433150840979,lt1
ISIC_0027053,45.48754681877686,lt1
ISIC_0028560,41.99406022726591,lt1
ISIC_0031650,50.86819673175453,lt2
ISIC_0029161,42.66007151584305,lt1
ISIC_0026273,47.15363825264198,lt1
ISIC_0025076,45.51349415944669,lt1
ISIC_0029687,37.797456998897154,int2
ISIC_0025642,43.53617217487598,lt1
ISIC_0025819,39.333242196193645,int2
ISIC_0032013,45.78971389915331,lt1
ISIC_0031691,48.40458931973991,lt2
